2022-11-21 17:27:17,817 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.962/5.962/5.962/0.000 ms
2022-11-21 17:27:19,051 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.430/9.430/9.430/0.000 ms
2022-11-21 17:27:20,312 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.393/9.393/9.393/0.000 ms
2022-11-21 17:27:21,555 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.707/5.707/5.707/0.000 ms
2022-11-21 17:27:22,797 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.446/5.446/5.446/0.000 ms
2022-11-21 17:27:24,034 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.322/10.322/10.322/0.000 ms
2022-11-21 17:27:25,297 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.650/10.650/10.650/0.000 ms
2022-11-21 17:27:26,541 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.501/8.501/8.501/0.000 ms
2022-11-21 17:27:27,778 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.856/8.856/8.856/0.000 ms
2022-11-21 17:27:29,026 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.085/11.085/11.085/0.000 ms
2022-11-21 17:27:30,291 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.088/8.088/8.088/0.000 ms
2022-11-21 17:27:31,525 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.162/8.162/8.162/0.000 ms
2022-11-21 17:27:32,774 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.053/6.053/6.053/0.000 ms
2022-11-21 17:27:34,022 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.540/6.540/6.540/0.000 ms
2022-11-21 17:27:35,298 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.513/7.513/7.513/0.000 ms
2022-11-21 17:27:36,541 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.120/9.120/9.120/0.000 ms
2022-11-21 17:27:37,782 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.093/10.093/10.093/0.000 ms
2022-11-21 17:27:39,014 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.509/5.509/5.509/0.000 ms
2022-11-21 17:27:40,257 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.695/8.695/8.695/0.000 ms
2022-11-21 17:27:41,511 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.863/7.863/7.863/0.000 ms
2022-11-21 17:27:42,749 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.107/10.107/10.107/0.000 ms
2022-11-21 17:27:44,064 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 26.261/26.261/26.261/0.000 ms
2022-11-21 17:27:45,353 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.504/10.504/10.504/0.000 ms
2022-11-21 17:27:46,603 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.068/8.068/8.068/0.000 ms
